group,value
control,0.00
control,1813.00
control,6552.00
control,41397.00
control,203.00
control,51554.00
control,9135.00
control,10252.00
control,2550.00
control,0.00
control,0.00
control,8790.00
control,13179.00
control,1571.00
control,0.00
control,4427.00
control,0.00
control,5281.00
control,3088.00
control,0.00
control,0.00
control,1768.00
control,22562.00
control,7275.00
control,4458.00
control,0.00
control,17103.00
control,29.00
control,2599.00
control,7206.00
control,182.00
control,0.00
control,0.00
control,0.00
control,5045.00
control,0.00
control,0.00
control,1644.00
control,0.00
control,20.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1671.00
control,6957.00
control,10255.00
control,7177.00
control,0.00
control,2471.00
control,4.00
control,0.00
control,14482.00
control,0.00
control,0.00
control,7101.00
control,18873.00
control,0.00
control,0.00
control,2455.00
control,4244.00
control,16505.00
control,62.00
control,10302.00
control,11749.00
control,0.00
control,0.00
control,0.00
control,56.00
control,0.00
control,1990.00
control,29364.00
control,29922.00
control,5768.00
control,0.00
control,43732.00
control,0.00
control,38.00
control,0.00
control,0.00
control,3903.00
control,3628.00
control,8817.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,25047.00
control,354.00
control,63.00
control,0.00
control,0.00
control,927.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3422.00
control,157741.00
control,2574.00
control,1427.00
control,0.00
control,0.00
control,6235.00
control,453.00
control,8565.00
control,24976.00
control,0.00
control,0.00
control,0.00
control,47942.00
control,106.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,21183.00
control,1680.00
control,0.00
control,0.00
control,72163.00
control,5936.00
control,30277.00
control,0.00
control,0.00
control,2670.00
control,0.00
control,8097.00
control,0.00
control,0.00
control,4087.00
control,81.00
control,0.00
control,0.00
control,0.00
control,0.00
control,6717.00
control,1665.00
control,681.00
control,0.00
control,0.00
control,121.00
control,0.00
control,1973.00
control,35325.00
control,0.00
control,2341.00
control,15230.00
control,19383.00
control,618.00
control,0.00
control,13092.00
control,15890.00
control,1675.00
control,4527.00
control,0.00
control,0.00
control,2405.00
control,5.00
control,0.00
control,0.00
control,4048.00
control,88.00
control,7700.00
control,10264.00
control,0.00
control,5463.00
control,0.00
control,10302.00
control,0.00
control,0.00
control,0.00
control,4686.00
control,427.00
control,0.00
control,0.00
control,9473.00
control,4036.00
control,8.00
control,0.00
control,4582.00
control,0.00
control,68116.00
control,0.00
control,0.00
control,0.00
control,1654.00
control,27677.00
control,61.00
control,222758.00
control,9703.00
control,0.00
control,373.00
control,4249.00
control,0.00
control,215.00
control,10992.00
control,0.00
control,3617.00
control,0.00
control,5.00
control,2947.00
control,101139.00
control,0.00
control,262.00
control,8912.00
control,10128.00
control,0.00
control,14818.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2282.00
control,0.00
control,234.00
control,0.00
control,2968.00
control,2786.00
control,0.00
control,0.00
control,1379.00
control,0.00
control,0.00
control,3195.00
control,0.00
control,0.00
control,12848.00
control,1436.00
control,7349.00
control,336.00
control,0.00
control,5523.00
control,0.00
control,160.00
control,6908.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,11852.00
control,0.00
control,0.00
control,0.00
control,9.00
control,0.00
control,0.00
control,19127.00
control,894.00
control,30725.00
control,36471.00
control,37.00
control,22.00
control,0.00
control,0.00
control,12.00
control,1655.00
control,0.00
control,5980.00
control,139.00
control,3604.00
control,0.00
control,1212.00
control,129.00
control,58813.00
control,2743.00
control,2416.00
control,3903.00
control,0.00
control,10844.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3428.00
control,0.00
control,0.00
control,0.00
control,152.00
control,2292.00
control,5336.00
control,0.00
control,9856.00
control,0.00
control,18276.00
control,15.00
control,22587.00
control,0.00
control,7873.00
control,3326.00
control,0.00
control,14446.00
control,0.00
control,0.00
control,324.00
control,0.00
control,21684.00
control,0.00
control,2073.00
control,0.00
control,81.00
control,0.00
control,0.00
control,0.00
control,0.00
control,32288.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3251.00
control,310.00
control,2035.00
control,0.00
control,0.00
control,0.00
control,2276.00
control,0.00
control,5679.00
control,142072.00
control,40090.00
control,4760.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,20.00
control,0.00
control,0.00
control,0.00
control,8768.00
control,2485.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,9.00
control,4207.00
control,4936.00
control,131537.00
control,0.00
control,10.00
control,0.00
control,0.00
control,1336.00
control,3440.00
control,0.00
control,0.00
control,86.00
control,0.00
control,1462.00
control,1007.00
control,963.00
control,0.00
control,220.00
control,23053.00
control,7166.00
control,7816.00
control,13708.00
control,0.00
control,71907.00
control,41449.00
control,0.00
control,0.00
control,47600.00
control,0.00
control,0.00
control,0.00
control,17560.00
control,4928.00
control,21571.00
control,0.00
control,0.00
control,16609.00
control,0.00
control,3250.00
control,65147.00
control,0.00
control,0.00
control,0.00
control,4325.00
control,938.00
control,10326.00
control,12657.00
control,0.00
control,67.00
control,0.00
control,0.00
control,1655.00
control,30.00
control,39804.00
control,5588.00
control,0.00
control,13.00
control,9.00
control,7033.00
control,0.00
control,0.00
control,3505.00
control,4.00
control,13711.00
control,7.00
control,1324.00
control,1666.00
control,0.00
control,3708.00
control,0.00
control,0.00
control,1623.00
control,14190.00
control,0.00
control,321647.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,27687.00
control,0.00
control,218.00
control,6.00
control,0.00
control,0.00
control,6107.00
control,0.00
control,7.00
control,0.00
control,1688.00
control,1886.00
control,2215.00
control,0.00
control,256.00
control,8529.00
control,0.00
control,0.00
control,3207.00
control,0.00
control,0.00
control,0.00
control,0.00
control,36313.00
control,0.00
control,80802.00
control,0.00
control,77047.00
control,0.00
control,1980.00
control,0.00
control,11291.00
control,455.00
control,11260.00
control,0.00
control,0.00
control,6185.00
control,0.00
control,19827.00
control,214.00
control,0.00
control,21856.00
control,3600.00
control,7663.00
control,2587.00
control,189146.00
control,1653.00
control,0.00
control,1779.00
control,355.00
control,2203.00
control,3390.00
control,5103.00
control,3670.00
control,6710.00
control,5118.00
control,16370.00
control,0.00
control,154.00
control,0.00
control,0.00
control,0.00
control,0.00
control,18023.00
control,502.00
control,0.00
control,1629.00
control,1163.00
control,290.00
control,1652.00
control,34271.00
control,0.00
control,8720.00
control,14042.00
control,0.00
control,77.00
control,41909.00
control,0.00
control,51787.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,143913.00
control,9894.00
control,0.00
control,0.00
control,0.00
control,65948.00
control,0.00
control,0.00
control,0.00
control,0.00
control,37070.00
control,3333.00
control,10157.00
control,9473.00
control,0.00
control,7515.00
control,0.00
control,0.00
control,0.00
control,6811.00
control,0.00
control,0.00
control,6146.00
control,0.00
control,24199.00
control,62.00
control,0.00
control,3581.00
control,0.00
control,23.00
control,241.00
control,0.00
control,0.00
control,8117.00
control,0.00
control,3857.00
control,19535.00
control,0.00
control,28970.00
control,1117.00
control,0.00
control,0.00
control,0.00
control,2276.00
control,0.00
control,0.00
control,8672.00
control,5150.00
control,1979.00
control,9634.00
control,0.00
control,3764.00
control,0.00
control,0.00
control,271.00
control,10775.00
control,0.00
control,2752.00
control,0.00
control,967.00
control,0.00
control,0.00
control,140266.00
control,3540.00
control,5520.00
control,1050.00
control,0.00
control,0.00
control,39.00
control,101.00
control,0.00
control,7683.00
control,731.00
control,1135.00
control,2518.00
control,0.00
control,0.00
control,0.00
control,56.00
control,0.00
control,13.00
control,0.00
control,0.00
control,0.00
control,1719.00
control,0.00
control,0.00
control,0.00
control,609.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2371.00
control,633.00
control,9915.00
control,0.00
control,15019.00
control,0.00
control,0.00
control,0.00
control,0.00
control,432.00
control,4177.00
control,0.00
control,17588.00
control,829.00
control,7531.00
control,30381.00
control,5098.00
control,9500.00
control,0.00
control,17933.00
control,3559.00
control,0.00
control,0.00
control,0.00
control,31442.00
control,32872.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,4159.00
control,6862.00
control,70735.00
control,6144.00
control,0.00
control,0.00
control,11088.00
control,4052.00
control,0.00
control,2838.00
control,4625.00
control,0.00
control,2812.00
control,0.00
control,3781.00
control,0.00
control,4153.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1680.00
control,0.00
control,5283.00
control,152523.00
control,4310.00
control,0.00
control,15732.00
control,0.00
control,0.00
control,94.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1954.00
control,157.00
control,0.00
control,112247.00
control,0.00
control,18765.00
control,25987.00
control,32853.00
control,0.00
control,0.00
control,223.00
control,1568.00
control,0.00
control,2975.00
control,0.00
control,0.00
control,1136.00
control,52.00
control,3406.00
control,27600.00
control,0.00
control,824.00
control,0.00
control,48069.00
control,0.00
control,0.00
control,6754.00
control,3149.00
control,46888.00
control,0.00
control,814.00
control,0.00
control,19496.00
control,300.00
control,0.00
control,17.00
control,9836.00
control,0.00
control,0.00
control,2026.00
control,0.00
control,0.00
control,9366.00
control,282.00
control,0.00
control,0.00
control,0.00
control,42857.00
control,0.00
control,64.00
control,4936.00
control,0.00
control,0.00
control,3505.00
control,2619.00
control,53.00
control,1735.00
control,8985.00
control,11384.00
control,100.00
control,4129.00
control,0.00
control,0.00
control,0.00
control,2091.00
control,0.00
control,0.00
control,106009.00
control,0.00
control,0.00
control,745.00
control,0.00
control,0.00
control,1926.00
control,11260.00
control,0.00
control,0.00
control,0.00
control,6332.00
control,3.00
control,3058.00
control,0.00
control,2421.00
control,0.00
control,71535.00
control,21484.00
control,18837.00
control,76.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,997.00
control,45.00
control,5260.00
control,0.00
control,0.00
control,0.00
control,3331.00
control,327.00
control,92021.00
control,9312.00
control,0.00
control,0.00
control,0.00
control,0.00
control,42.00
control,6717.00
control,0.00
control,0.00
control,8877.00
control,8832.00
control,0.00
control,89290.00
control,0.00
control,44574.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,392.00
control,51651.00
control,1815.00
control,1598.00
control,0.00
control,0.00
control,1205.00
control,4898.00
control,0.00
control,120.00
control,0.00
control,0.00
control,3532.00
control,3273.00
control,65.00
control,2945.00
control,10072.00
control,0.00
control,13357.00
control,735.00
control,240054.00
control,41.00
control,5653.00
control,29016.00
control,0.00
control,39057.00
control,0.00
control,6823.00
control,0.00
control,0.00
control,0.00
control,0.00
control,9.00
control,0.00
control,0.00
control,9923.00
control,988.00
control,0.00
control,0.00
control,236.00
control,0.00
control,6936.00
control,198.00
control,24412.00
control,14378.00
control,0.00
control,0.00
control,14795.00
control,65267.00
control,0.00
control,0.00
control,32405.00
control,1628.00
control,57946.00
control,0.00
control,0.00
control,773.00
control,0.00
control,5847.00
control,0.00
control,0.00
control,77196.00
control,8936.00
control,0.00
control,4293.00
control,0.00
control,0.00
control,6231.00
control,11483.00
control,0.00
control,95.00
control,0.00
control,0.00
control,17555.00
control,7416.00
control,0.00
control,5385.00
control,0.00
control,7546.00
control,18296.00
control,0.00
control,52505.00
control,0.00
control,0.00
control,30460.00
control,0.00
control,7027.00
control,0.00
control,5908.00
control,41990.00
control,0.00
control,0.00
control,528.00
control,0.00
control,69.00
control,940.00
control,0.00
control,0.00
control,0.00
control,3604.00
control,1792.00
control,0.00
control,0.00
control,0.00
control,6625.00
control,95590.00
control,0.00
control,0.00
control,0.00
control,3349.00
control,0.00
control,0.00
control,4.00
control,28920.00
control,0.00
control,56.00
control,0.00
control,0.00
control,0.00
control,0.00
control,163.00
control,2059.00
control,1369.00
control,0.00
control,4.00
control,6606.00
control,0.00
control,384.00
control,0.00
control,160353.00
control,774.00
control,0.00
control,0.00
control,0.00
control,3180.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1203.00
control,1615.00
control,677.00
control,0.00
control,0.00
control,50.00
control,3013.00
control,0.00
control,23401.00
control,5052.00
control,0.00
control,8711.00
control,0.00
control,0.00
control,7351.00
control,3221.00
control,45824.00
control,0.00
control,0.00
control,5.00
control,65721.00
control,0.00
control,794.00
control,0.00
control,0.00
control,0.00
control,2853.00
control,0.00
control,29548.00
control,0.00
control,23759.00
control,0.00
control,0.00
control,3994.00
control,0.00
control,833.00
control,38.00
control,4987.00
control,3501.00
control,49.00
control,0.00
control,10367.00
control,26384.00
control,7012.00
control,1868.00
control,119.00
control,35385.00
control,18221.00
control,0.00
control,0.00
control,6588.00
control,6253.00
control,6.00
control,0.00
control,330106.00
control,4156.00
control,3387.00
control,20.00
control,30317.00
control,0.00
control,1166.00
control,0.00
control,5860.00
control,0.00
control,0.00
control,31025.00
control,0.00
control,4867.00
control,3373.00
control,28749.00
control,0.00
control,8575.00
control,0.00
control,426.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,7370.00
control,116280.00
control,1066.00
control,12107.00
control,4108.00
control,0.00
control,4590.00
control,415.00
control,0.00
control,0.00
control,0.00
control,3739.00
control,1526.00
control,0.00
control,3920.00
control,40.00
control,9662.00
control,7811.00
control,32928.00
control,8998.00
control,0.00
control,0.00
control,17365.00
control,22.00
control,0.00
control,0.00
control,5450.00
control,8538.00
control,3387.00
control,21325.00
control,720.00
control,295.00
control,0.00
control,791.00
control,0.00
control,0.00
control,51.00
control,2218.00
control,15124.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3238.00
control,0.00
control,5615.00
control,5455.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3.00
control,0.00
control,33469.00
control,60725.00
control,727.00
control,28.00
control,0.00
control,196.00
control,1679.00
control,0.00
control,0.00
control,37.00
control,234529.00
control,56187.00
control,0.00
control,11617.00
control,2825.00
control,0.00
control,3150.00
control,0.00
control,13897.00
control,0.00
control,3.00
control,0.00
control,27426.00
control,5757.00
control,0.00
control,4459.00
control,11.00
control,65216.00
control,132.00
control,0.00
control,725.00
control,0.00
control,1438.00
control,0.00
control,3780.00
control,0.00
control,0.00
control,6941.00
control,0.00
control,0.00
control,1558.00
control,0.00
control,7086.00
control,843.00
control,1257.00
control,5329.00
control,3366.00
control,0.00
control,0.00
control,10342.00
control,8769.00
control,0.00
control,15886.00
control,0.00
control,4144.00
control,5284.00
control,0.00
control,3941.00
control,0.00
control,0.00
control,0.00
control,0.00
control,13362.00
control,0.00
control,0.00
control,9.00
control,6121.00
control,0.00
control,0.00
control,8053.00
control,0.00
control,0.00
control,0.00
control,2264.00
control,0.00
control,7274.00
control,0.00
control,96407.00
control,3778.00
control,0.00
control,5148.00
control,6996.00
control,979.00
control,0.00
control,1671.00
control,0.00
control,0.00
control,1476.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1222.00
control,3840.00
control,1227.00
control,0.00
control,0.00
control,0.00
control,2497.00
control,71281.00
control,0.00
control,63883.00
control,0.00
control,10659.00
control,2117.00
control,0.00
control,924.00
control,84.00
control,0.00
control,0.00
control,416.00
control,0.00
control,80723.00
control,0.00
control,444.00
control,0.00
control,1243.00
control,21676.00
control,0.00
control,53276.00
control,10.00
control,0.00
control,32914.00
control,0.00
control,24309.00
control,0.00
control,0.00
control,16254.00
control,0.00
control,27.00
control,0.00
control,0.00
control,0.00
control,12.00
control,5258.00
control,12063.00
control,0.00
control,1183.00
control,29825.00
control,120.00
control,0.00
control,122.00
control,274.00
control,13727.00
control,0.00
control,0.00
control,0.00
control,20079.00
control,0.00
control,699.00
control,4076.00
control,0.00
control,0.00
control,0.00
control,10762.00
control,2784.00
control,0.00
control,15829.00
control,0.00
control,1135.00
control,84695.00
control,0.00
control,0.00
control,2804.00
control,0.00
control,3341.00
control,0.00
control,37810.00
control,10207.00
control,0.00
control,2137.00
control,358.00
control,2047.00
control,0.00
control,6902.00
control,8031.00
control,0.00
control,0.00
control,0.00
control,0.00
control,924.00
control,10586.00
control,3517.00
control,0.00
control,0.00
control,0.00
control,0.00
control,437.00
control,5021.00
control,8127.00
control,0.00
control,0.00
control,88171.00
control,16325.00
control,11549.00
control,0.00
control,88.00
control,0.00
control,204.00
control,41869.00
control,20858.00
control,0.00
control,5591.00
control,168710.00
control,0.00
control,0.00
control,656.00
control,7383.00
control,908.00
control,6239.00
control,3.00
control,1005.00
control,5.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2450.00
control,5156.00
control,0.00
control,15.00
control,56.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3122.00
control,71884.00
control,1405.00
control,0.00
control,16297.00
control,0.00
control,16635.00
control,381.00
control,0.00
control,7073.00
control,0.00
control,15038.00
control,5141.00
control,8661.00
control,85031.00
control,0.00
control,5693.00
control,17121.00
control,4513.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,12685.00
control,0.00
control,79065.00
control,0.00
control,0.00
control,17882.00
control,0.00
control,0.00
control,787.00
control,2752.00
control,0.00
control,3481.00
control,15046.00
control,1192.00
control,0.00
control,3.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,5286.00
control,116.00
control,9283.00
control,0.00
control,13619.00
control,0.00
control,4.00
control,0.00
control,3576.00
control,66405.00
control,0.00
control,877.00
control,0.00
control,0.00
control,0.00
control,488.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,141881.00
control,2732.00
control,0.00
control,62628.00
control,4029.00
control,0.00
control,38.00
control,0.00
control,25564.00
control,18978.00
control,84047.00
control,7271.00
control,7945.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3994.00
control,0.00
control,17088.00
control,0.00
control,0.00
control,0.00
control,159389.00
control,859.00
control,1697.00
control,6790.00
control,7520.00
control,20.00
control,0.00
control,0.00
control,0.00
control,3959.00
control,0.00
control,2326.00
control,0.00
control,0.00
control,0.00
control,97.00
control,295.00
control,212.00
control,0.00
control,0.00
control,7042.00
control,0.00
control,2134.00
control,1382.00
control,6767.00
control,4048.00
control,8.00
control,46.00
control,0.00
control,0.00
control,0.00
control,0.00
control,903.00
control,0.00
control,0.00
control,3.00
control,27686.00
control,3601.00
control,0.00
control,0.00
control,241.00
control,0.00
control,341.00
control,7711.00
control,62083.00
control,0.00
control,20612.00
control,4588.00
control,0.00
control,1348.00
control,0.00
control,3330.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,36.00
control,0.00
control,12342.00
control,33.00
control,0.00
control,3.00
control,0.00
control,6235.00
control,813.00
control,0.00
control,102043.00
control,0.00
control,0.00
control,0.00
control,0.00
control,38304.00
control,0.00
control,3600.00
control,0.00
control,21572.00
control,0.00
control,0.00
control,51791.00
control,0.00
control,0.00
control,0.00
control,1852.00
control,0.00
control,1650.00
control,6881.00
control,0.00
control,2168.00
control,0.00
control,1722.00
control,0.00
control,611.00
control,113.00
control,1109.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,222.00
control,0.00
control,0.00
control,0.00
control,0.00
control,11828.00
control,93.00
control,17.00
control,0.00
control,2486.00
control,0.00
control,3844.00
control,371.00
control,0.00
control,1562.00
control,0.00
control,383.00
control,0.00
control,0.00
control,62526.00
control,11229.00
control,0.00
control,4040.00
control,0.00
control,0.00
control,0.00
control,0.00
control,5873.00
control,0.00
control,0.00
control,2143.00
control,1139.00
control,1896.00
control,0.00
control,24850.00
control,647.00
control,7270.00
control,3823.00
control,0.00
control,6881.00
control,0.00
control,9739.00
control,1626.00
control,0.00
control,0.00
control,29.00
control,7652.00
control,29619.00
control,13060.00
control,17909.00
control,0.00
control,21698.00
control,0.00
control,5028.00
control,0.00
control,5284.00
control,5717.00
control,3466.00
control,5338.00
control,7730.00
control,0.00
control,0.00
control,656.00
control,3.00
control,75.00
control,3521.00
control,3175.00
control,0.00
control,0.00
control,3684.00
control,202.00
control,0.00
control,0.00
control,0.00
control,0.00
control,59.00
control,0.00
control,3641.00
control,3114.00
control,1013.00
control,0.00
control,0.00
control,0.00
control,21555.00
control,0.00
control,108.00
control,0.00
control,0.00
control,0.00
control,7001.00
control,0.00
control,0.00
control,0.00
control,0.00
control,6771.00
control,48.00
control,8951.00
control,11141.00
control,13725.00
control,15411.00
control,37925.00
control,59.00
control,0.00
control,66.00
control,7699.00
control,0.00
control,0.00
control,0.00
control,8.00
control,6500.00
control,0.00
control,9239.00
control,0.00
control,1692.00
control,0.00
control,0.00
control,13.00
control,6946.00
control,6608.00
control,37768.00
control,12000.00
control,0.00
control,54120.00
control,0.00
control,0.00
control,4.00
control,32704.00
control,1250.00
control,48373.00
control,0.00
control,0.00
control,0.00
control,0.00
control,15976.00
control,5821.00
control,0.00
control,0.00
control,829.00
control,0.00
control,0.00
control,0.00
control,133.00
control,0.00
control,0.00
control,10.00
control,46118.00
control,0.00
control,423.00
control,0.00
control,0.00
control,17994.00
control,15434.00
control,327.00
control,0.00
control,0.00
control,1888.00
control,0.00
control,0.00
control,9011.00
control,3331.00
control,0.00
control,2713.00
control,15825.00
control,0.00
control,8737.00
control,0.00
control,0.00
control,0.00
control,0.00
control,19885.00
control,831.00
control,0.00
control,0.00
control,21.00
control,2272.00
control,39361.00
control,10337.00
control,0.00
control,57443.00
control,0.00
control,0.00
control,3578.00
control,0.00
control,0.00
control,0.00
control,3653.00
control,2314.00
control,10021.00
control,0.00
control,0.00
control,0.00
control,0.00
control,13771.00
control,0.00
control,0.00
control,16714.00
control,1388.00
control,0.00
control,0.00
control,29.00
control,0.00
control,3100.00
control,1237.00
control,15582.00
control,1211.00
control,0.00
control,0.00
control,10954.00
control,4668.00
control,0.00
control,0.00
control,0.00
control,4.00
control,0.00
control,326.00
control,1660.00
control,0.00
control,0.00
control,0.00
control,6713.00
control,0.00
control,0.00
control,561.00
control,4887.00
control,328.00
control,0.00
control,0.00
control,0.00
control,1604.00
control,0.00
control,27584.00
control,0.00
control,7265.00
control,218.00
control,447.00
control,829.00
control,4413.00
control,13213.00
control,3309.00
control,0.00
control,690.00
control,0.00
control,87169.00
control,0.00
control,0.00
control,10503.00
control,0.00
control,0.00
control,10888.00
control,0.00
control,3.00
control,10249.00
control,6471.00
control,101.00
control,0.00
control,195750.00
control,1149.00
control,0.00
control,54.00
control,25978.00
control,70551.00
control,147206.00
control,2168.00
control,0.00
control,0.00
control,321.00
control,35820.00
control,5393.00
control,0.00
control,2866.00
control,0.00
control,3284.00
control,0.00
control,119320.00
control,0.00
control,0.00
control,60.00
control,126714.00
control,1106.00
control,0.00
control,28576.00
control,6079.00
control,0.00
control,433.00
control,2012.00
control,1733.00
control,0.00
control,0.00
control,0.00
control,0.00
control,8697.00
control,8083.00
control,689.00
control,4091.00
control,2098.00
control,5550.00
control,47378.00
control,10048.00
control,7365.00
control,0.00
control,2143.00
control,0.00
control,0.00
control,4292.00
control,0.00
control,0.00
control,0.00
control,671.00
control,7557.00
control,0.00
control,0.00
control,0.00
control,12909.00
control,0.00
control,0.00
control,4205.00
control,2023.00
control,125.00
control,0.00
control,44749.00
control,7257.00
control,6988.00
control,3534.00
control,51.00
control,0.00
control,30845.00
control,3503.00
control,9497.00
control,0.00
control,0.00
control,2254.00
control,18747.00
control,0.00
control,0.00
control,564.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,55783.00
control,0.00
control,2880.00
control,0.00
control,6.00
control,0.00
control,438.00
control,0.00
control,0.00
control,0.00
control,6336.00
control,0.00
control,0.00
control,0.00
control,3736.00
control,0.00
control,63.00
control,861.00
control,0.00
control,13.00
control,0.00
control,322.00
control,2880.00
control,17880.00
control,0.00
control,0.00
control,0.00
control,96638.00
control,17259.00
control,0.00
control,4192.00
control,0.00
control,0.00
control,1305.00
control,16.00
control,71.00
control,82285.00
control,0.00
control,0.00
control,38598.00
control,243.00
control,0.00
control,0.00
control,16323.00
control,0.00
control,0.00
control,0.00
control,0.00
control,31060.00
control,2276.00
control,20.00
control,60.00
control,295.00
control,11847.00
control,0.00
control,14797.00
control,8396.00
control,0.00
control,6201.00
control,0.00
control,4909.00
control,122.00
control,0.00
control,3640.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3326.00
control,0.00
control,0.00
control,0.00
control,5338.00
control,1385.00
control,17502.00
control,9.00
control,1671.00
control,0.00
control,0.00
control,2243.00
control,5313.00
control,0.00
control,0.00
control,10.00
control,106.00
control,4286.00
control,0.00
control,7453.00
control,4322.00
control,0.00
control,0.00
control,0.00
control,7316.00
control,6291.00
control,10272.00
control,1312.00
control,17038.00
control,0.00
control,0.00
control,0.00
control,521.00
control,0.00
control,4550.00
control,1063.00
control,0.00
control,43689.00
control,2869.00
control,0.00
control,1570.00
control,0.00
control,0.00
control,1489.00
control,0.00
control,0.00
control,3755.00
control,0.00
control,0.00
control,23580.00
control,11306.00
control,0.00
control,0.00
control,20.00
control,440.00
control,0.00
control,40873.00
control,26762.00
control,11.00
control,0.00
control,0.00
control,3694.00
control,55.00
control,0.00
control,0.00
control,6.00
control,502.00
control,0.00
control,0.00
control,15.00
control,0.00
control,0.00
control,909.00
control,0.00
control,0.00
control,0.00
control,10196.00
control,1356.00
control,0.00
control,0.00
control,30.00
control,3525.00
control,0.00
control,31477.00
control,0.00
control,0.00
control,172.00
control,2223.00
control,1908.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,16480.00
control,2389.00
control,0.00
control,2264.00
control,678.00
control,31.00
control,21709.00
control,2496.00
control,0.00
control,0.00
control,713.00
control,0.00
control,1983.00
control,0.00
control,0.00
control,0.00
control,0.00
control,10910.00
control,6048.00
control,7310.00
control,3402.00
control,131.00
control,115787.00
control,0.00
control,25442.00
control,996.00
control,78701.00
control,0.00
control,6893.00
control,14067.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2648.00
control,3.00
control,2594.00
control,3386.00
control,22520.00
control,11589.00
control,24095.00
control,0.00
control,0.00
control,2049.00
control,0.00
control,0.00
control,0.00
control,0.00
control,4504.00
control,6749.00
control,0.00
control,0.00
control,0.00
control,60058.00
control,2604.00
control,64.00
control,318.00
control,0.00
control,0.00
control,8950.00
control,5154.00
control,3753.00
control,2523.00
control,426.00
control,47035.00
control,4735.00
control,24039.00
control,5944.00
control,0.00
control,922.00
control,10836.00
control,1197.00
control,10623.00
control,1511.00
control,0.00
control,34901.00
control,49591.00
control,4878.00
control,629.00
control,134.00
control,7034.00
control,0.00
control,0.00
control,0.00
control,0.00
control,54528.00
control,7824.00
control,2217.00
control,0.00
control,0.00
control,8950.00
control,0.00
control,0.00
control,0.00
control,0.00
control,4632.00
control,0.00
control,0.00
control,1832.00
control,0.00
control,0.00
control,547.00
control,0.00
control,12741.00
control,361.00
control,133600.00
control,17.00
control,1686.00
control,0.00
control,0.00
control,6600.00
control,0.00
control,315.00
control,19.00
control,0.00
control,5036.00
control,980.00
control,16450.00
control,0.00
control,2241.00
control,7451.00
control,0.00
control,2819.00
control,26183.00
control,0.00
control,20.00
control,0.00
control,2640.00
control,0.00
control,0.00
control,1879.00
control,0.00
control,11213.00
control,2283.00
control,0.00
control,5656.00
control,0.00
control,0.00
control,14064.00
control,6560.00
control,3697.00
control,219.00
control,15591.00
control,2757.00
control,0.00
control,0.00
control,0.00
control,12956.00
control,5832.00
control,0.00
control,2057.00
control,117221.00
control,4309.00
control,10507.00
control,0.00
control,603.00
control,3255.00
control,14980.00
control,0.00
control,76165.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1980.00
control,23.00
control,9440.00
control,23256.00
control,6605.00
control,0.00
control,221.00
control,0.00
control,0.00
